player_id,cricsheet_id,name,profile_status,profile_error,profile_scraped_at,deep_status,deep_error,deep_scraped_at
1482861,4253df86,A Hilmy,error,profile:Page too short (324 chars),2026-03-28T16:04:15.525372+00:00,pending,,
814943,4255615e,AD Day,error,profile:Page too short (323 chars),2026-03-28T16:04:21.164535+00:00,pending,,
1338605,42581e6d,K Kubota,error,profile:Page too short (324 chars),2026-03-28T16:04:22.192115+00:00,pending,,
53130,425afb12,PIC Thompson,error,profile:Page too short (322 chars),2026-03-28T16:04:22.833087+00:00,pending,,
1440554,426eaf06,Taj Nehar,error,profile:Page too short (324 chars),2026-03-28T16:04:23.172683+00:00,pending,,
1484027,42754aea,GG Patwardhan,error,profile:Page too short (324 chars),2026-03-28T16:04:28.441934+00:00,pending,,
1329697,4277234d,Sufiyan Muqeem,error,profile:Page too short (324 chars),2026-03-28T16:04:29.444795+00:00,pending,,
1163677,427e6670,BB Dey,error,profile:Page too short (324 chars),2026-03-28T16:04:30.225628+00:00,pending,,
1337356,428308fb,D Marais,error,profile:Page too short (324 chars),2026-03-28T16:04:30.616010+00:00,pending,,
1400994,4286e899,Syed Aqeel Israr,error,profile:Page too short (324 chars),2026-03-28T16:04:35.694353+00:00,pending,,
1448051,4289ccc9,Samader Shadab,error,profile:Page too short (324 chars),2026-03-28T16:04:36.849120+00:00,pending,,
1239673,4291f081,KA Knight,error,profile:Page too short (324 chars),2026-03-28T16:04:37.633587+00:00,pending,,
631262,429c3c3d,A Ramesh,error,profile:Page too short (323 chars),2026-03-28T16:04:38.116979+00:00,pending,,
1192939,42a01b52,Ilyas Ahmed,error,profile:Page too short (324 chars),2026-03-28T16:04:42.716594+00:00,pending,,
36187,42a05795,GW Aldridge,error,profile:Page too short (322 chars),2026-03-28T16:04:44.325009+00:00,pending,,
6328,42a235e3,JJ Lyons,error,profile:Page too short (321 chars),2026-03-28T16:04:44.783611+00:00,pending,,
1147613,42a5c1c7,JH Wharton,error,profile:Page too short (324 chars),2026-03-28T16:04:45.495321+00:00,pending,,
9209,42a68d80,W Brearley,error,profile:Page too short (321 chars),2026-03-28T16:04:49.885549+00:00,pending,,
1437353,42a7d394,K Tesarikova,error,profile:Page too short (324 chars),2026-03-28T16:04:51.504586+00:00,pending,,
1306427,42aaf21c,KD Jayawant,error,profile:Page too short (324 chars),2026-03-28T16:04:51.901449+00:00,pending,,
1390771,42b0cc96,A Dineshi,error,profile:Page too short (324 chars),2026-03-28T16:04:52.737527+00:00,pending,,
1122854,42b34cb1,V Masekesa,error,profile:Page too short (324 chars),2026-03-28T16:04:57.309875+00:00,pending,,
1062706,42bf1b7d,H Carlyon,error,profile:Page too short (324 chars),2026-03-28T16:04:59.147896+00:00,pending,,
