player_id,cricsheet_id,name,machine,profile_status,profile_error,profile_scraped_at,deep_status,deep_error,deep_scraped_at
1307970,0207451a,Ellen Asante,1,pending,,,pending,,
1181700,0207ff32,TJ Prest,1,pending,,,pending,,
1156618,020e49e9,AD Algar,1,pending,,,pending,,
1303555,020f0699,K Pathiratne,1,pending,,,pending,,
522836,020f24d6,NJA Smith,1,pending,,,pending,,
1331890,020f474b,Y Teki,1,pending,,,pending,,
52204,020fa427,DRE Joseph,1,pending,,,pending,,
227183,021223ce,L Uthenwoldt,1,pending,,,pending,,
749957,02181d9a,EL Lamb,1,pending,,,pending,,
1158407,021b4be9,M Matine,1,pending,,,pending,,
334395,021d0f79,DJ Vernon,1,pending,,,pending,,
1135037,021e0d95,D Shawane,1,pending,,,pending,,
6576,02223af0,GD McKenzie,1,pending,,,pending,,
1175162,02264be0,SL Gomez,1,pending,,,pending,,
1411062,02264ff3,MA Chakraborty,1,pending,,,pending,,
943275,0226b73a,Imran Haider,1,pending,,,pending,,
1185796,022745d5,F Overdijk,1,pending,,,pending,,
1387424,023c40b8,Zhao Tianle,1,pending,,,pending,,
24230,023f6b02,Nadeem Ahmed,1,pending,,,pending,,
55666,024a173d,J Nyumbu,1,pending,,,pending,,
1287808,024a4869,HHD Sandaruwan,1,pending,,,pending,,
1082759,024aece0,MK Gohal,1,pending,,,pending,,
37770,024fe464,PD McGlashan,1,pending,,,pending,,
1199393,0251a22f,Abdul Bangalzai,1,pending,,,pending,,
360320,025a092b,RH Patel,1,pending,,,pending,,
1175426,025c4400,MJ Suthar,1,pending,,,pending,,
7346,025e7fdf,VY Richardson,1,pending,,,pending,,
1156461,025f79d1,R Pathak,1,pending,,,pending,,
1119572,02610bad,A van der Merwe,1,pending,,,pending,,
1370306,026135b1,GE Hall,1,pending,,,pending,,
1463198,0262a6f3,SJ Hate,1,pending,,,pending,,
596426,02635912,S Tait,1,pending,,,pending,,
278482,0264c10e,D Salunkhe,1,pending,,,pending,,
45830,0265fab2,RE Koertzen,1,pending,,,pending,,
1351965,026b815f,MJ Tumukunde,1,pending,,,pending,,
1275720,026e1314,Ali Yalmaz,1,pending,,,pending,,
467819,027662be,J Evans,1,pending,,,pending,,
56154,02789d88,Shamsur Rahman,1,pending,,,pending,,
498372,02802468,Ali Nadeem,1,pending,,,pending,,
1014829,0280a934,Michael Foster,1,pending,,,pending,,
1276639,0286eabe,MH Ushanga,1,pending,,,pending,,
542346,02888e6b,B Luitel,1,pending,,,pending,,
1451387,02888f23,A Donovan,1,pending,,,pending,,
20381,028b7f77,AE Stoddart,1,pending,,,pending,,
53652,02923e7a,MJ Bulow,1,pending,,,pending,,
31474,02923fc5,WL Mascarenhas,1,pending,,,pending,,
429779,0295c92b,S Kavinda,1,pending,,,pending,,
270493,029c4618,AL Fekete,1,pending,,,pending,,
307449,02a6cb16,CRM Douglas,1,pending,,,pending,,
438271,02adffa6,HJ Beatson,1,pending,,,pending,,
1230624,02b078b1,P Malav,1,pending,,,pending,,
1163700,02b25ee4,SS Ghosh,1,pending,,,pending,,
1163511,02b4558e,S Mishra,1,pending,,,pending,,
1323457,02b87bde,LW Potthoff,1,pending,,,pending,,
473004,02b93a83,U Arshad,1,pending,,,pending,,
